117.11,106.56
160.81,235.39
108.01,236.51
110.71,103.57
109.63,238.05
115.6,201.82
126.55,243.6
86.553,192.18
80.455,84.787
211.2,180.86
145.34,225.05
98.424,175.09
95.753,100.5
184.61,122.43
96.862,94.778
75.871,183.3
71.428,182.78
190.19,210.86
116.86,132.19
93.801,144.84
66.889,144
139.68,145.17
192.32,172.84
107.82,171.67
68.336,127.51
132.08,156.45
216.31,136.44
208.99,204.02
178.45,70.405
89.524,127.25
164.95,85.958
162.57,137.9
155.04,70.411
68.509,133.83
183.76,137.64
137.36,106.64
122.77,163.03
121.98,99.469
90.212,140.83
88.933,151.94
116.73,242.92
204.1,140.88
101.93,199.35
134.37,101.35
119.15,65.381
110.37,126.04
180.04,244.35
218.62,128.15
173.61,171.13
151.79,55.632
65.016,168.09
100.22,194.65
181.03,141.83
69.269,103.76
227.78,185.47
169.51,194.97
186.23,100.56
196.58,131.91
211.69,94.488
168.14,179.51
157.18,90.915
111.65,114.94
121.38,77.342
117.11,94.857
235.11,153
70.478,148.01
94.893,80.596
134.9,143.72
82.179,136.3
88.501,136.13
104.15,199.61
162.23,136.96
170.6,107.32
173.54,238.2
204.63,218.37
117.12,118.27
193.61,208.55
139.93,119.54
137.05,199.34
161.97,115.78
181.37,142.77
114.8,79.736
187.27,161.9
84.155,173.9
161.84,249.91
133.26,107.07
167.2,179.85
156.32,71.009
183.94,155.67
190.86,154.21
178.65,182.07
120.81,172.26
190.96,215.9
154.88,110.91
111.25,204.47
177.6,97.317
214.12,229.82
104.83,154.67
226.83,162.4
183.01,202.83
