912.32,294.37
919.15,590.91
414.6,406.35
795.87,293.12
-45.175,251.25
776.25,686.56
617.55,250.54
943.69,342.54
727.58,201.98
409.78,855.06
14.284,239.18
703.38,416.17
236.74,473.21
70.908,459.08
621.11,728.12
862.12,437.14
89.038,520.59
765.75,429.65
58.623,229.43
181.49,558.24
392.42,798.59
189.7,881.95
-21.852,248.08
246.38,143
251.21,586.07
785.76,201.02
234.72,271.75
922.9,264.97
292.74,10.133
757.89,130.29
741.78,-7.5138
433.45,309.03
834.19,445.18
473.79,361.39
642.05,776.9
136.95,456.32
887.71,7.4799
639.02,40.531
725.55,579.43
0.78654,243.03
881.28,223.72
280.69,877.57
629.26,262.24
635.44,662.25
671,447.11
188.12,441.96
893.58,210.73
425.67,556.63
200.04,287.57
184.7,131.4
128.45,307.24
788.24,222.47
163.14,48.788
646.14,139.04
887.9,662.94
380.71,207.98
561.59,263.46
690.61,6.8545
878.07,638.85
61.777,784.85
451.11,225.98
513.91,-45.893
682.92,570.48
410.53,210.96
198.69,52.879
143.32,52.809
189.11,617.18
