128,104
125,240
75,223
123,99
76,225
94,193
90,236
70,174
101,71
191,206
114,225
87,162
110,91
186,142
113,86
63,162
59,160
161,227
119,128
93,132
68,122
136,148
176,192
97,162
75,107
125,156
211,166
181,227
198,91
95,114
180,101
160,149
176,83
73,113
180,156
147,111
114,159
135,99
91,127
86,137
81,232
198,166
82,186
146,105
144,66
115,120
140,255
216,159
159,184
178,68
58,144
82,181
176,159
84,85
205,216
147,205
195,122
194,155
221,125
151,190
171,103
120,110
142,78
132,93
223,188
70,127
116,72
132,145
85,120
91,122
84,187
160,148
178,123
136,247
172,239
124,115
165,226
145,124
115,198
167,128
176,160
135,78
175,180
74,156
121,254
143,110
150,190
177,84
174,173
181,174
160,196
109,167
160,232
162,121
89,194
188,116
177,253
100,145
212,194
157,217
