85,91
102,225
132,177
90,214
81,203
173,155
135,147
156,218
206,126
107,93
136,94
93,135
123,152
81,88
102,160
76,96
214,133
97,218
148,212
111,202
167,128
202,205
108,244
180,146
67,114
147,263
190,77
153,161
145,263
189,157
209,132
68,211
169,232
92,237
157,121
134,65
222,127
159,146
177,165
113,220
99,145
191,238
190,225
197,194
149,151
102,215
150,257
96,210
86,193
145,239
197,90
129,109
189,235
76,179
90,159
96,209
165,63
100,234
146,258
92,78
106,181
109,171
157,127
97,145
179,214
82,176
224,140
64,166
119,258
88,189
141,149
120,235
204,224
105,84
146,76
142,180
156,175
191,219
67,208
114,226
157,75
183,216
150,182
84,123
163,88
128,201
191,100
75,177
77,227
139,231
191,99
125,202
222,198
89,184
165,144
102,141
216,156
195,121
117,230
154,104
